,A4,A5,A6,A9,A9_2_TEXT,B2,B5,B6,B6_8_TEXT,B8,B9,B9_9_TEXT,B10,B11,B11_1_TEXT,B12,B13,B14,B15,B15_1_TEXT,B16,B17,B17_1_TEXT,B18,C1,C2,C3,C4,C5,C6,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D11_1_TEXT,D11_2_TEXT,D11_3_TEXT,D12,D13,D14_NPS_GROUP,D14,D15,E1,E2,E3,E3_6_TEXT,E4_NPS_GROUP,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F7_1_TEXT,F8,F8_1_TEXT,B3_B4_Combined,Distribution,Logistics/ Transport,Production,Aggregation (group buying for reselling),Processing,Agri-Services - Inputs supply,B13_Combined,D3_Combined
23,Single,Primary,5/05/1972,Côte d'Ivoire,,Women’s association ,5.0,"More than 3, specify",6.0,"Production, transformation et livraisons","Other, specify","Yakasse attobrou, adzopé",No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,"Yes, specify",vivrièr,présidente,Oui,Association,Statuts et règlements intérieurs,Neant,Les membres,La population locale,Yes,Logistique gère par un convoyeur,La documentation,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides),Insurance",Between 25 and 50 millions,"January ,February ,March ,October ,November ,December",Less than a month,Every month,Logistics,Yes,0,,,,,,Yes,COOPEC ,Passive,8,Plus de sécurité et de garantie,Yes for personal expenditures,Monthly ,Transfer money,,Passive,8,Plus de sécurité,AVEC,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,Yes,10-20%,51-60%,Yes,41-50%,"Yes, explain","Yes, explain",Elle crée des emplois,"Yes, explain",,300.0,1,0,1,1,1,0,200000.0,50.0
24,Widowed,Primary,15-02-1975,Côte d'Ivoire,,Cooperative,7.0,"More than 3, specify",4.0,"Production de manioc frais et transformation en attiéké, gari et placali","Other, specify",Tabou ( village Blidouba ),No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",,président,Oui,AWINKE,Autres,AWINKE,Membre de la coopérative,les villageois,No,Location de moto,"-Manque de moyen financier
-problème pour avoir accès au véhicule","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Less than 1 million,February ,Between one and 3 years ,Every trimester,Charges ,No,,,,,,,No,,Passive,8,Sécurité de l'argent et la possibilité d'avoir du credit,Yes for business expenditures,Monthly ,Other :,Conserver de l'argent,Passive,8,,,"Technical partnerships, Access to markets, Access to new buyers",Constitution d’un dossier agricole,Yes,No,41-50%,31-40%,Yes,31-40%,No,"Yes, explain",Aide les membres de la coopérative a faire face à leur besoin,"Yes, explain",,,0,0,1,0,1,0,72000.0,1000000.0
25,Married,Primary,03-09-1982,Côte d'Ivoire,,Cooperative,12.0,"More than 3, specify",7.0,Production de manioc frais et transformation du manioc en pate ,"Other, specify",Tabou,No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",bananier,secretaire,Oui,BANOUDEDO,Statuts et règlements intérieurs,BANOUDEDO,Membre de la coopérative,Les revendeuses et les femmes qui fabriqueent de l'attiéké,No,Location de tricycle ,"Problème de transport
","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 1 and 5 millions,"March ,May ",Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Passive,8,"La banque est sur, il y a une garantie",Yes for personal and business expenditures,Weekly ,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Other :",Conserver de l'argent,Passive,8,La rapidité et pas besoin d'aller dans les grande ville comme la banque,,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,61-70%,81-90%,Yes,81-90%,"Yes, explain","Yes, explain",-Donne le courage au femme et la communauté à travailler,"Yes, explain",,,0,0,1,0,1,0,300000.0,1500000.0
26,Single,High School ,1961,Côte d'Ivoire,,Cooperative,5.0,3,,Achat matières premières transformation en produits finis et vente des produits finis,"Other, specify",ADZOPE,No,No,,"Local Markets ,International Markets",Between 5 and 25 millions,Cassava,No,,directrice,Non,,Registre de commerce,USOCOVIEM,Les membres de la coopérative ,Clientèle Abidjan ,No,Tricycle ,Conservation du produit ,"Agri - Transport (financing for vehicle),Operational loan (working capital) ,Trade finance for export ",Between 5 and 25 millions,December,Between 3 months and a year,Every trimester,Charges ,No,,,,,,,No,,Passive,8,Approche crédible ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills",,Promoter,9,Ils rendent les tâches plus simples et permettent d'avoir des gains de temps ,No,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,Yes,More than 90%,More than 90%,No,71-80%,No,"Yes, explain","Emploi, promotion  du savoir local","Yes, explain",Renouvellement des champs ,26.0,0,0,0,0,1,0,,
27,Single,Primary,1958,Côte d'Ivoire,,Women’s association ,18.0,"More than 3, specify",7.0,Production de manioc frais et transformation en attiéké et placali,"Other, specify",San pedro (Village Gabiadji),No,No,,Local Markets ,Less than 1 million,Cassava,No,,présidente,Oui,GNONSOA NA PEU ,Statuts et règlements intérieurs,GNONSOA NA PEU ,les membres de l'association,les revendeuses locale,No,utilisation de brouette,le problème se situe au niveau de la terre qui pourri le manioc planté,"Agri Cash (liquidities),Agri - Transport (financing for vehicle)",Between 1 and 5 millions,"January ,February ",Between one and 3 years ,Every trimester,Charges ,No,,,,,,,Yes,COOPEC ,Passive,8,L'argent est en sécurité,Yes for personal and business expenditures,Monthly ,"Transfer money,Other :",Conserver de l'argent,Passive,8,Conserver l'argent facilement,No,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,Yes,More than 90%,More than 90%,Yes,More than 90%,No,"Yes, explain",Subvenir aux besoins des femmes du village,"Yes, explain",,,0,0,1,0,1,0,100000.0,2000000.0
28,Single,University,27/04/1985,Côte d'Ivoire,,Other,3.0,2,,Notre compagnie développe des spaghettis et de la nourriture pour animal  respectivement à base de manioc et de sa pulpe pour aider les ménages et les éleveurs à s'approprier les produits locaux respectueux d'hygiène et de l'environnement.,Abidjan ,,Yes,"Yes, specify",,"Local Markets ,Regional Markets ,International Markets",Between 1 and 5 millions,Cassava,No,,fondateur,Non,,Aucun document,Fédération des producteurs et transformateurs de manioc de Côté d'Ivoire,Ce sont les transformateurs après décapage des pulpes ou les associations de femmes des producteurs d'attieké.,Les éleveurs.,No,Nous fabriquons et distributions chez le client via les sociétés de livraisons ou de déménagement.,Le manque de production à grand échelle et une publicité conséquente qui l'accompagne.,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 5 and 25 millions,"April ,May ,June ,July ",Between 3 months and a year,Every trimester,Charges ,No,,,,,,,No,,Promoter,9,Elles sont crédibles mais souvent n'explique pas les avantages de leur produit.,Yes for personal and business expenditures,Weekly ,Pay bills,,Promoter,9,C'est un service sécurisé quant l'on le maîtrise.,,"Technical assistance, Coaching, Mentoring",La vente en ligne pour optimiser ses revenus,Yes,No,10-20%,10-20%,No,41-50%,No,"Yes, explain","Puisqu'elle permet de d'intégrer des femmes , des jeunes déscolarisées en les formants en interne pour mieux exercer leur tâche quotidienne.","Yes, explain","Car elle s'appuie sur un système circulaire. Achat de matières premières, transformations et distributions.",,0,0,0,0,1,0,200000.0,10.0
29,Married,Primary,1967,Côte d'Ivoire,,Women’s association ,23.0,"More than 3, specify",5.0,Production de manioc frais et transformation en placali et attiéké,"Other, specify",San pedro (village Gabiadji),No,No,,Local Markets ,Less than 1 million,Cassava,No,,présidente,Oui,Gabiadji,Statuts et règlements intérieurs,ADJEDJREGA,les producteurs de manioc et quelques membres de l'association,les revendeuses ,No,location de ticycle,"problème de transport, manque de broyeuse","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 1 and 5 millions,"January ,February ,March ",Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Passive,8,l'octroie de credit et la conservation de l'argent,Yes for personal and business expenditures,Weekly ,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Other :",Conserver l'argent,Passive,8,l'argent est en sécurité,No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,Yes,More than 90%,More than 90%,Yes,81-90%,No,"Yes, explain",Subvenir aux besoins des femmes,"Yes, explain",On utilise pas les produits chimique,,0,0,1,0,1,0,300000.0,2000000.0
30,Single,University,1981,Côte d'Ivoire,,Cooperative,4.0,"More than 3, specify",17.0,Association de producteurs specialisée dans la collecte et vente des produits agricoles de ses membres et ceux des femmes de ses deux groupements de femmes de producteurs,"Other, specify",Alépé,No,"Yes, specify",,Local Markets ,Between 50 and 100 millions,Cacao,"Yes, specify",manioc,directeur,Oui,Societe Cooperative,Statuts et règlements intérieurs,Ministere de l'agriculture,Les producteurs et productrices membres ,Cargill West Africa,Yes,Le camion de collecte est lancé a la demande d'un delegué de section qui du produit a enlever,Etat des routes et la politique commerciale de l'etat,Operational loan (working capital) ,Between 25 and 50 millions,"January ,September ,October ,November ,December",Between one and 3 years ,Every trimester,Logistics,No,,,,,,,Yes,SIB,Detractor,5,Securité de vos fonds mais tres longues procedures bancaires pour les cooperatives,Yes for personal and business expenditures,Weekly ,"Pay bills,Pay employees ,Pay producers/ farmers",,Promoter,9,"Rapidité, proximité et fiabilité",,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,No,<10%,10-20%,Yes,Less than 10%,No,"Yes, explain",Construction ecole maternelle et une pompe hydrolique villageoise,"Yes, explain",Nous sommes dans un projet de durabilité,330.0,0,0,1,0,0,0,75.0,
31,Single,University,1980,Côte d'Ivoire,,Cooperative,553.0,"More than 3, specify",11.0,nous achetons du cacao et du café en plus nous avons des groupement AVEC qui font des marachés et des champs de manioc pour revendre la production.,"Other, specify",agnibilekrou,No,"Yes, specify",,"Local Markets ,Regional Markets ,International Markets",Between 100 and 250 millions,CACAO,"Yes, specify",manioc,,Oui,Societe Cooperative,Déclaration fiscale d'existence DFE,,PRODUCTEURS,CARGILL,Yes,REMORQUE. VEHICULE DE LIAISON,PROBLEME DE CLIENT,Agri Cash (liquidities),Between 50 and 100 millions,March ,Between 1 and 3 months,Every semester,Charges ,No,,,,,,,Yes,SIB,Passive,7,C'EST UNE GARANTIE,Yes for business expenditures,Monthly ,"Pay bills,Pay employees ,Pay producers/ farmers",,Passive,7,PAS CE QUE C'EST SUR ET FIABLE,,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,No,<10%,21-30%,Yes,21-30%,"Yes, explain","Yes, explain",LA CREATION DES AVEC,"Yes, explain",,553.0,0,0,0,1,0,0,250000000.0,100000000.0
32,Married,High School ,1958,Côte d'Ivoire,,Cooperative,25.0,"More than 3, specify",7.0,,Yamoussoukro ,,No,No,,"Local Markets ,Regional Markets ,International Markets",Between 1 and 5 millions,Cassava,No,,présidente,Oui,Societe Cooperative,Statuts et règlements intérieurs,APEMACi,Cultivateurs et les membres de la coopérative ,Les particuliers ,No,Location d’engins ,Problème de matériel ,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ",Between 5 and 25 millions,January ,More than 8 years,Every month,Logistics,No,,,,,,,Yes,COOPEC ,Passive,7,"Lorsque vous avez vos documents à jour et un projet fiable, le financement suit.
Nous avons vu plusieurs entreprises être financé par les institutions financières, donc cela nous donne l’espoir d’avoir davantage confiance.",Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Pay business suppliers",,Passive,8,,No,"Technical assistance, Coaching, Mentoring",Constitution d’un dossier agricole,Yes,Yes,71-80%,More than 90%,No,61-70%,No,"Yes, explain","Nous permettons aux femmes membres d’avoir des champs et autres activités, favorisant ainsi l’autonomisation ","Yes, explain",,56.0,0,0,1,0,1,1,,20000000.0
33,Single,Primary,02  Fevrier 1972,Côte d'Ivoire,,Women’s association ,12.0,"More than 3, specify",5.0,Production de manioc frais et fabrication de manioc,"Other, specify",San pedro (Goh),No,No,,Local Markets ,Less than 1 million,Cassava,No,,présidente,Oui,GOH 2 ,Statuts et règlements intérieurs,GOH 2 ,membre de l'association,Les fabriquant d'attiéké locaux et les revendeurs,No,location de moto et tricycle,"problème transport, manque véhicule","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Less than 1 million,"January ,February ,March ",Between one and 3 years ,Every trimester,Charges ,No,,,,,,,No,,Passive,8,la banque est garantie,Yes for personal and business expenditures,Monthly ,"Transfer money,Pay producers/ farmers,Other :",Conserver de l'argent,Passive,8,L'argent est en sécurité et c'est garantie,AFAO,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,More than 90%,More than 90%,Yes,More than 90%,"Yes, explain","Yes, explain",Aider les femmes dans les dépenses du ménage,"Yes, explain",,12.0,0,0,1,0,1,0,200000.0,1000000.0
34,Married,None ,1982,Côte d'Ivoire,,Women’s association ,,"More than 3, specify",5.0,Production de manioc frais et transformation en attiéké et placali,"Other, specify",San pedro (Kouassikro),No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",tomate,présidente,Oui,TOUTIA,Statuts et règlements intérieurs,TOUTIA,les membres de l'association,les revendeuses,No,location de moto et tricycle,Aucun,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment)",Between 1 and 5 millions,"January ,February ,March ",Between one and 3 years ,Every year,Charges ,No,,,,,,,No,,Passive,8,L'argent est en sécurité,No,,,,,,,,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,More than 90%,More than 90%,Yes,81-90%,No,"Yes, explain",Aide les femmes de l'association sur les finances,"Yes, explain",,40.0,0,0,1,0,1,0,200000.0,1000000.0
35,Single,University,06-12-1978,Côte d'Ivoire,,Cooperative,113.0,"More than 3, specify",7.0,LA COOPERATIVE SOCADA EST SPECIALISEE DANS LA COLLECTE ET VENTE DES PRODUITS(CACAO) DE SES MEMBRES,Abidjan ,,No,"Yes, specify",,Local Markets ,Between 5 and 25 millions,CACAO,"Yes, specify",,administrateur,Oui,Societe Cooperative,Déclaration fiscale d'existence DFE,,,CARGILL WEST AFRICA,Yes,LA LOGISTIQUE EST GEREE PAR LA DIRECTION.LA COOPREATIVE DISPOSE DE 03 KIA ET 08 MOTOS,LA COOPERATIVE A BESOIN D'UN SOUTIEN POUR ACCEDER A DE NOUVEAUX MARCHES-ELLE NE RENCONTRE PAS DE PROBLEME DE COMMERCIALISATION MAIS A BESOIN DE FINANCEMENT.,Agri Cash (liquidities),Between 50 and 100 millions,"January ,February ,March ,April ,May ,June ",Between 3 months and a year,Every trimester,Charges ,No,,,,,,,Yes,SIB,Promoter,10,LA BANQUE  EST CREDIBLE ET SURE,Yes for personal expenditures,Daily,"Transfer money,Pay bills",,Promoter,10,FIABLE ET SURE,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,No,<10%,10-20%,Yes,10-20%,No,"Yes, explain",LA COOPERATIVE OCTROIT SI POSSIBLE DES PRETS-AIDE A LA DIVERSIFICATION DES CULTURES-AIDE A LA SCOLARISATION,"Yes, explain",LA COOPERATIVE EST BIEN STRUCTUREE ET FORMEE SUR LA GESTION DURABLE D'UNE ENTREPRISE PAR TECHNOSERVE,1130.0,0,0,0,1,0,0,,
